Q,A
"""버스 티켓 예매는 어디서 할 수 있어?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어떻게 예매할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매하려면 어떻게 해야 하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약 절차를 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓을 사려면 어떻게 해야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 구매하려면 어디로 가야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예매 방법 좀 알려줄래?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어떻게 예약하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약하는 법 좀 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어디서 구매할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예매는 어디서 할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매는 어떤 방법으로 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 구매는 어디서 할 수 있지?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약하려면 어떻게 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓은 어디서 예매해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 예매는 어디서 하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약 방법을 알려줄 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓을 구매하려면 어떻게 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 예매하려면 어떤 절차가 필요해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어디서 예약할 수 있어?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매 절차를 설명해줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 사려면 어디로 가야 하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓은 어떻게 예약하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 구매는 어디서 하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약은 어디서 할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 구매하려면 어떻게 해야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓은 어디서 살 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 예약하는 방법을 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매 방법이 뭐야?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약을 어떻게 하면 돼?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 예매는 어떻게 하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예약하려면 어떻게 해야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 어디서 구매해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매 방법 좀 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예매하려면 어디로 가야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 예약하려면 어떻게 해야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약 방법은 뭐야?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓은 어디서 예약하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 어디서 예매할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약하려면 어떤 절차가 필요해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 예매 절차 좀 알려줄래?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예매는 어떻게 해야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약은 어디서 가능해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 예매하려면 어디로 가야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 구매하는 방법 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매 절차가 궁금해.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약하는 법을 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어디서 살 수 있지?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매를 어떻게 해야 하죠?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예약하는 방법 좀 알려줄래?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 사는 방법이 뭐야?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매는 어떻게 하면 되나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약은 어떻게 진행해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 구매는 어디서 가능해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예매를 어디서 할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매하는 방법을 알려줄 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 어디서 예약할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓을 어떻게 예약할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매 절차를 알려주세요.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어디서 구매할 수 있죠?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약 방법 좀 가르쳐줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 구매 방법은 어떻게 돼?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매는 어디서 할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓을 어디서 살 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약하려면 어디로 가야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어떻게 예매하지?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매 방법을 알려줄래?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예매하려면 어디로 가야 하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 사려면 어떻게 해야 하죠?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약하는 방법을 알고 싶어요.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매는 어디서 할 수 있죠?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 어떻게 예약할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매는 어떤 절차로 이루어지나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓을 어디서 예약하죠?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매 방법 좀 가르쳐 줄래?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약하려면 어떻게 해야 하죠?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 어디서 구매할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매 방법이 궁금해요.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 예매 절차 좀 설명해 줄래?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예매는 어디서 가능해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어떻게 예약하는지 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약하는 절차는 뭐야?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
김도영 선수 연봉 예측해줘,1
각 선수의 급여를 추정해줘.,1
선수마다 연봉을 예측해봐.,1
각 선수의 수익을 예상해줘.,1
선수들 연봉을 계산해줘.,1
특정 선수의 연봉을 예측해줘.,1
선수별 소득을 추정해줘.,1
각 선수의 연간 수입을 예측해봐.,1
선수들 급여를 전망해줘.,1
선수들의 연봉을 분석해줘.,1
선수 개개인의 연봉을 알아봐.,1
각 선수의 재정적 가치를 추정해줘.,1
선수별 연봉 규모를 예측해줘.,1
선수의 연봉 추정을 해줘.,1
각 선수의 연간 급여를 계산해줘.,1
선수들 연봉 추세를 분석해줘.,1
선수별 소득 예측을 해봐.,1
각 선수의 연봉을 조사해줘.,1
선수들의 급여를 파악해줘.,1
특정 선수의 수익을 추정해줘.,1
선수별 경제적 가치 평가를 해줘.,1
각 선수의 급여 예측치를 제시해줘.,1
선수의 연봉을 예측해줘.,1
선수 개별 수입을 계산해줘.,1
각 선수의 경제적 이득을 예측해봐.,1
선수별 연봉 현황을 알아봐.,1
선수의 수입을 분석해줘.,1
